Country Name,GDP_pc,Life_exp,CO2,Pop
Afghanistan,493.76,64.486,0.200151071,37171922
Albania,5284.38,78.458,1.939731563,2866376
Algeria,4153.96,76.693,3.591657418,42228415
American Samoa,11557.67,..,..,55461
Andorra,41791.97,..,5.97340536,77008
Angola,3289.64,60.782,0.887380364,30809787
Antigua and Barbuda,16673.44,76.885,5.504663385,96282
Argentina,11633.5,76.52,3.987234198,44494502
Armenia,4220.54,74.945,1.880246268,2951741
Aruba,30253.28,76.152,..,105846
Australia,57354.96,82.74878049,15.47551649,24982688
Austria,51453.15,81.69268293,7.146637625,8840521
Azerbaijan,4739.84,72.864,3.221402183,9939771
"Bahamas, The",33767.94,73.752,5.86046391,385635
Bahrain,23991.04,77.163,19.59297584,1569440
Bangladesh,1698.13,72.32,0.512837314,161376713
Barbados,17745.26,79.081,4.360870779,286640
Belarus,6330.08,74.17560976,6.2540208,9483499
Belgium,47554.75,81.59512195,8.179711061,11427054
Belize,5001.42,74.496,1.775127848,383071
Benin,1240.83,61.47,0.688722324,11485035
Bermuda,113023.19,81.65170732,..,63919
Bhutan,3243.48,71.46,1.829277992,754396
Bolivia,3548.59,71.239,2.000327663,11353140
Bosnia and Herzegovina,6072.18,77.262,6.781131607,3323929
Botswana,8279.82,69.275,3.64230522,2254067
Brazil,9151.45,75.672,2.041874199,209469320
British Virgin Islands,..,..,..,29795
Brunei Darussalam,31628.48,75.722,16.64490862,428960
Bulgaria,9427.73,74.96341463,5.854773434,7025037
Burkina Faso,813.1,61.174,0.216186485,19751466
Burundi,271.75,61.247,0.05279463,11175379
Cabo Verde,3617.35,72.782,1.140200528,543764
Cambodia,1512.13,69.57,0.686777895,16249795
Cameroon,1534.49,58.921,0.341842908,25216261
Canada,46454.74,82.04878049,15.49702527,37065178
Cayman Islands,86059.74,..,..,64172
Central African Rep.,475.95,52.805,0.070718706,4666375
Chad,726.15,53.977,0.069131598,15477727
Channel Islands,..,82.928,..,170496
Chile,15888.14,80.042,4.624872245,18729166
China,9976.68,76.704,7.405211347,1392730000
Colombia,6729.58,77.109,1.600650618,49661056
Comoros,1415.96,64.118,0.312379103,832322
Dem. Rep. Congo,557.06,60.368,0.026169263,84068092
Congo,2601.41,64.29,0.613992586,5244363
Costa Rica,12468.58,80.095,1.652184053,4999443
Cote d'Ivoire,2314.05,57.422,0.395305384,25069226
Croatia,15014.09,78.07073171,4.055928762,4087843
Cuba,8824.19,78.726,2.202300094,11338146
Curacao,19630.89,..,..,159336
Cyprus,29089.47,80.828,6.079400502,1189262
Czech Republic,23419.74,79.02926829,9.640704998,10629928
Denmark,61598.54,80.95365854,5.761494164,5793636
Djibouti,3141.88,66.582,0.510989933,958923
Dominica,7693.77,..,2.513053919,71626
Dominican Republic,8050.64,73.892,2.363757648,10627147
Ecuador,6295.93,76.8,2.3138123,17084359
Egypt,2537.13,71.825,2.502042142,98423602
El Salvador,4052.62,73.096,1.060625411,6420740
Equatorial Guinea,10005.62,58.402,5.095625096,1308966
Eritrea,..,65.941,0.231696216,..
Estonia,23159.39,78.24390244,12.103085,1321977
Eswatini,4105.9,59.401,0.959275668,1136274
Ethiopia,771.52,66.24,0.149050931,109224410
Faroe Islands,62918.15,82.49512195,..,48497
Fiji,6317.44,67.341,2.150561976,883490
Finland,50013.29,81.73414634,8.04275205,5515525
France,41526.41,82.72439024,4.619241205,67101930
French Polynesia,..,77.462,..,277673
Gabon,7956.63,66.187,2.175272204,2119275
"Gambia, The",732.72,61.735,0.249989913,2280092
Georgia,4722.79,73.6,2.538541691,3726549
Germany,47787.16,80.89268293,8.558389812,82905782
Ghana,2194.23,63.78,0.541201382,29767108
Gibraltar,..,..,..,33715
Greece,19766,81.78780488,6.08317505,10732882
Greenland,54470.96,..,..,56023
Grenada,10486.38,72.384,2.691814193,111449
Guam,36502.38,79.859,..,165770
Guatemala,4478.42,74.063,1.113969273,16346950
Guinea,955.11,61.185,0.251323233,12414292
Guinea-Bissau,802.77,58.003,0.165394728,1874304
Guyana,6145.82,69.774,3.13219265,779007
Haiti,1435.35,63.66,0.299374738,11123183
Honduras,2510.32,75.088,1.019032757,9587523
"Hong Kong SAR, China",48542.68,84.93414634,..,7451000
Hungary,16411.44,76.06585366,4.745506244,9775564
Iceland,74348.36,82.86097561,6.237224322,352721
India,1996.92,69.416,1.799825446,1352642283
Indonesia,3893.86,71.509,2.178461553,267670549
Iran,3598.48,76.479,7.693012599,81800204
Iraq,5523.08,70.454,4.895195361,38433604
Ireland,79297.73,82.25609756,7.624325193,4867316
Isle of Man,89112.67,..,..,84073
Israel,41704.83,82.80243902,6.976403837,8882800
Italy,34608.68,83.34634146,5.376374339,60421760
Jamaica,5359.99,74.368,2.899634155,2934853
Japan,39159.42,84.21097561,8.74225771,126529100
Jordan,4308.15,74.405,2.478595273,9965322
Kazakhstan,9812.63,73.15,12.06196914,18276452
Kenya,1708,66.342,0.358028408,51392570
Kiribati,1698.33,68.116,0.690595812,115842
North Korea,..,72.095,0.709208588,25549606
South Korea,33422.94,82.62682927,12.22459136,51606633
Kosovo,4419.91,72.24390244,..,1797085
Kuwait,33399.06,75.398,21.62272431,4137314
Kyrgyz Republic,1308.14,71.4,1.73973556,6322800
Lao PDR,2542.49,67.61,2.660908493,7061498
Latvia,17849.56,74.78292683,3.959165078,1927174
Lebanon,8012.54,78.875,4.039707217,6859408
Lesotho,1192.48,53.705,1.218975994,2108327
Liberia,677.32,63.73,0.273917114,4818976
Libya,7877.12,72.724,8.825249137,6678565
Liechtenstein,180366.72,83.04146341,3.692177857,37918
Lithuania,19166.81,75.6804878,4.137005929,2801543
Luxembourg,116597.3,82.29512195,15.33020808,607950
"Macao SAR, China",87554.71,84.118,..,631633
Madagascar,518.4,66.681,0.128320761,26262313
Malawi,535.35,63.798,0.086533726,18143215
Malaysia,11377.65,75.997,7.600220413,31528033
Maldives,10276.77,78.627,3.703674976,515704
Mali,894.8,58.893,0.294583928,19077755
Malta,30672.29,82.44878049,3.198316241,484630
Marshall Islands,3793.55,..,3.252756283,58412
Mauritania,1601.29,64.704,0.908407126,4403312
Mauritius,11208.33,74.41634146,3.264040313,1265303
Mexico,9686.51,74.992,3.741477725,126190782
"Micronesia, Fed. Sts.",3568.29,67.755,1.598011364,112640
Moldova,4230.36,71.808,3.171832063,2708214
Monaco,185978.61,..,..,38682
Mongolia,4134.98,69.689,6.725098053,3170214
Montenegro,8850.09,76.77,4.049968902,622227
Morocco,3226.98,76.453,1.850726784,36029089
Mozambique,503.32,60.163,0.225115201,29496009
Myanmar,1279.09,66.867,0.605492803,53708318
Namibia,5587.99,63.373,1.735898378,2448300
Nauru,11614.67,..,6.555534744,10678
Nepal,1178.53,70.478,0.428179218,28095712
Netherlands,53018.63,81.81219512,8.772823734,17231624
New Caledonia,..,77.43414634,..,270650
New Zealand,43306.07,81.85853659,6.572664572,4900600
Nicaragua,2014.57,74.275,0.805815233,6465502
Niger,572.43,62.024,0.102037038,22442831
Nigeria,2027.78,54.332,0.667110199,195874685
North Macedonia,6087.47,75.688,3.538239148,2082957
Northern Mariana Islands,22886.67,..,..,56889
Norway,82267.81,82.75853659,7.031361189,5311916
Oman,16521.21,77.633,15.19212436,4829476
Pakistan,1482.21,67.114,0.981820105,212228288
Palau,15657.18,..,16.19116744,17911
Panama,15544.73,78.329,2.42765632,4176868
Papua New Guinea,2801.37,64.263,0.866804457,8606324
Paraguay,5782.78,74.131,1.210453778,6956069
Peru,6957.79,76.516,1.69681923,31989265
Philippines,3252.11,71.095,1.33369096,106651394
Poland,15468.41,77.60243902,8.235472255,37974750
Portugal,23551.05,81.32439024,4.840612761,10283822
Puerto Rico,31604.7,79.77819512,..,3193354
Qatar,65907.95,80.1,32.41563917,2781682
Romania,12398.98,75.35853659,3.845132759,19473970
Russia,11287.36,72.66219512,11.12661837,144477859
Rwanda,783.64,68.7,0.087790824,12301969
Samoa,4188.57,73.187,1.631587535,196128
San Marino,48996.59,..,..,33784
Sao Tome and Principe,1953.51,70.17,0.663406498,211032
Saudi Arabia,23337.02,74.998,15.26878053,33702757
Senegal,1458.07,67.665,0.621912357,15854324
Serbia,7252.4,75.8902439,6.521922194,6982604
Seychelles,16390.82,72.84146341,6.407474008,96762
Sierra Leone,533.99,54.309,0.133330736,7650149
Singapore,66679.05,83.29756098,8.399134832,5638676
Sint Maarten (Dutch part),29160.1,..,..,40654
Slovak Republic,19364.62,77.26585366,6.058635474,5446771
Slovenia,26103.16,81.37804878,6.774695332,2073894
Solomon Islands,2411.86,72.835,0.566740598,652856
Somalia,314.54,57.068,0.04597479,15008225
South Africa,6372.61,63.857,7.496644895,57792520
S. Sudan,..,57.604,0.125729734,10975924
Spain,30374.52,83.43170732,5.5203504,46797754
Sri Lanka,4058.8,76.812,0.99815413,21670000
St. Kitts and Nevis,19276.52,..,4.958236393,52438
St. Lucia,11357.83,76.057,2.14415306,181890
St. Martin (French part),..,79.82195122,..,37264
St. Vincent and the Grenadines,7361.4,72.415,2.540604301,110210
Sudan,825.87,65.095,0.483235878,41801532
Suriname,6938.09,71.57,3.611192614,575987
Sweden,54589.06,82.55853659,3.538009127,10175214
Switzerland,86429.5,83.75365854,4.401991044,8514329
Syria,..,71.779,1.647087511,16945062
Tajikistan,853.22,70.879,0.80541954,9100847
Tanzania,1042.84,65.015,0.205634733,56313444
Thailand,7296.88,76.931,3.714039204,69428454
Timor-Leste,1230.23,69.26,0.504741813,1267975
Togo,901.52,60.76,0.286471389,7889095
Tonga,4740.7,70.801,1.841103111,103199
Trinidad and Tobago,17037.86,73.38,12.77844012,1389841
Tunisia,3438.81,76.505,2.592258865,11565203
Turkey,9453.2,77.437,5.01541837,82340090
Turkmenistan,6967.38,68.073,12.25964817,5850902
Turks and Caicos Islands,29553.14,..,..,37667
Tuvalu,3701.71,..,0.86918731,11505
Uganda,770.26,62.973,0.143462178,42729032
Ukraine,3096.82,71.58268293,4.154180631,44622518
United Arab Emirates,43839.32,77.814,20.7974984,9630966
United Kingdom,42992.8,81.25609756,5.398708138,66460344
United States of America,63064.42,78.63902439,15.24087458,326838199
Uruguay,18703.86,77.77,1.890244079,3449290
Uzbekistan,1529.08,71.573,3.401191282,32956100
Vanuatu,3125.4,70.323,0.615016657,292675
Venezuela,..,72.128,4.782754887,28887117
Vietnam,2566.45,75.317,2.698805922,95545959
Virgin Islands (U.S.),37233.3,79.5195122,..,107001
West Bank and Gaza,3562.33,73.895,..,4569087
Yemen,824.12,66.096,0.326681763,28498683
Zambia,1516.37,63.51,0.446065443,17351714
Zimbabwe,1352.16,61.195,0.849792905,14438812
