Row,Column,Value
Africa Eastern and Southern,2001,7.673219513
Africa Eastern and Southern,2002,7.937704647
Africa Eastern and Southern,2003,7.802388884
Africa Eastern and Southern,2004,7.329253097
Africa Eastern and Southern,2005,7.131358868
Africa Eastern and Southern,2006,6.914849871
Africa Eastern and Southern,2007,6.587475264
Africa Eastern and Southern,2008,6.097317662
Africa Eastern and Southern,2009,6.300056087
Africa Eastern and Southern,2010,6.879693861
Africa Eastern and Southern,2011,6.730719832
Africa Eastern and Southern,2012,6.578242998
Africa Eastern and Southern,2013,6.480672678
Africa Eastern and Southern,2014,6.414462162
Africa Eastern and Southern,2015,6.46859789
Africa Eastern and Southern,2016,6.546351147
Africa Eastern and Southern,2017,6.523060744
Africa Eastern and Southern,2018,6.414391648
Africa Western and Central,2001,4.75881974
Africa Western and Central,2002,4.714486057
Africa Western and Central,2003,4.679017573
Africa Western and Central,2004,4.655351912
Africa Western and Central,2005,4.640471853
Africa Western and Central,2006,4.483859585
Africa Western and Central,2007,4.379478476
Africa Western and Central,2008,4.31016625
Africa Western and Central,2009,4.478593602
Africa Western and Central,2010,4.471161285
Africa Western and Central,2011,4.466730879
Africa Western and Central,2012,4.560139285
Africa Western and Central,2013,4.356187219
Africa Western and Central,2014,4.640631559
Africa Western and Central,2015,4.54711314
Africa Western and Central,2016,5.486480348
Africa Western and Central,2017,5.927103775
Africa Western and Central,2018,5.910614964
East Asia & Pacific,2001,3.945598151
East Asia & Pacific,2002,4.219847064
East Asia & Pacific,2003,4.476749469
East Asia & Pacific,2004,4.413075236
East Asia & Pacific,2005,4.43652718
East Asia & Pacific,2006,4.304650552
East Asia & Pacific,2007,4.246192596
East Asia & Pacific,2008,4.364740119
East Asia & Pacific,2009,4.43597753
East Asia & Pacific,2010,4.198877173
East Asia & Pacific,2011,4.091287034
East Asia & Pacific,2012,4.065747004
East Asia & Pacific,2013,4.037952591
East Asia & Pacific,2014,4.006021361
East Asia & Pacific,2015,4.047187954
East Asia & Pacific,2016,3.952384216
East Asia & Pacific,2017,3.830102934
East Asia & Pacific,2018,3.73533665
Europe & Central Asia,2001,9.099718522
Europe & Central Asia,2002,9.13322816
Europe & Central Asia,2003,9.140059629
Europe & Central Asia,2004,9.116242851
Europe & Central Asia,2005,8.731927707
Europe & Central Asia,2006,8.089263423
Europe & Central Asia,2007,7.171463122
Europe & Central Asia,2008,7.091559221
Europe & Central Asia,2009,8.936479947
Europe & Central Asia,2010,9.017600149
Europe & Central Asia,2011,8.761266213
Europe & Central Asia,2012,8.969747338
Europe & Central Asia,2013,9.197365047
Europe & Central Asia,2014,8.949873246
Europe & Central Asia,2015,8.546152663
Europe & Central Asia,2016,8.078895677
Europe & Central Asia,2017,7.472206635
Europe & Central Asia,2018,6.888105729
Latin America & Caribbean,2001,8.743802968
Latin America & Caribbean,2002,9.083827829
Latin America & Caribbean,2003,8.921246216
Latin America & Caribbean,2004,8.383785418
Latin America & Caribbean,2005,7.921447758
Latin America & Caribbean,2006,7.256014467
Latin America & Caribbean,2007,6.86315763
Latin America & Caribbean,2008,6.490773399
Latin America & Caribbean,2009,7.485787984
Latin America & Caribbean,2010,6.94636838
Latin America & Caribbean,2011,6.474950493
Latin America & Caribbean,2012,6.392243707
Latin America & Caribbean,2013,6.341959807
Latin America & Caribbean,2014,6.167784805
Latin America & Caribbean,2015,6.691088339
Latin America & Caribbean,2016,7.805506814
Latin America & Caribbean,2017,8.083543187
Latin America & Caribbean,2018,7.956345209
Middle East & North Africa,2001,11.99043611
Middle East & North Africa,2002,12.16596752
Middle East & North Africa,2003,11.8794631
Middle East & North Africa,2004,10.73324602
Middle East & North Africa,2005,10.949157
Middle East & North Africa,2006,10.07469579
Middle East & North Africa,2007,9.55922133
Middle East & North Africa,2008,9.197684056
Middle East & North Africa,2009,9.354669317
Middle East & North Africa,2010,9.498380282
Middle East & North Africa,2011,10.00146548
Middle East & North Africa,2012,10.19035732
Middle East & North Africa,2013,9.834299983
Middle East & North Africa,2014,9.951817659
Middle East & North Africa,2015,10.05505489
Middle East & North Africa,2016,10.11341288
Middle East & North Africa,2017,10.23865123
Middle East & North Africa,2018,9.812974314
North America,2001,4.979645703
North America,2002,5.973513082
North America,2003,6.154587296
North America,2004,5.703679304
North America,2005,5.255129545
North America,2006,4.79720665
North America,2007,4.769584517
North America,2008,5.818084728
North America,2009,9.153156134
North America,2010,9.461070717
North America,2011,8.794088324
North America,2012,7.985607186
North America,2013,7.346131113
North America,2014,6.250799766
North America,2015,5.457870891
North America,2016,5.102114671
North America,2017,4.576424366
North America,2018,4.111269896
South Asia,2001,5.109440448
South Asia,2002,5.188118307
South Asia,2003,5.208511582
South Asia,2004,5.1638337
South Asia,2005,5.093557465
South Asia,2006,4.903180035
South Asia,2007,4.811123361
South Asia,2008,4.787584012
South Asia,2009,5.063924707
South Asia,2010,4.931766791
South Asia,2011,4.963764868
South Asia,2012,5.085329325
South Asia,2013,5.261257162
South Asia,2014,5.092405822
South Asia,2015,5.245459209
South Asia,2016,5.220780883
South Asia,2017,5.155036344
South Asia,2018,5.102109757
